Date,Visitor/Neutral,Points,Home/Neutral,PTS,box_score_text,overtimes,Attendance,Length of Game,Arena,Notes
"Wed, Mar 25, 1981",Dallas Mavericks,126,Denver Nuggets,115,Box Score,,"14,035",,McNichols Sports Arena,
"Wed, Mar 25, 1981",San Diego Clippers,114,Golden State Warriors,120,Box Score,,"12,117",,Oakland-Alameda County Coliseum Arena,
"Wed, Mar 25, 1981",San Antonio Spurs,111,Houston Rockets,117,Box Score,,"13,931",,The Summit,
"Wed, Mar 25, 1981",Boston Celtics,111,New Jersey Nets,105,Box Score,,"8,227",2:15,Rutgers Athletic Center,
"Wed, Mar 25, 1981",Detroit Pistons,75,Philadelphia 76ers,114,Box Score,,"12,168",,The Spectrum,
"Wed, Mar 25, 1981",Kansas City Kings,110,Phoenix Suns,101,Box Score,,"12,660",,Arizona Veterans Memorial Coliseum,
"Wed, Mar 25, 1981",Portland Trail Blazers,112,Seattle SuperSonics,103,Box Score,,"16,659",,Seattle Kingdome,
"Wed, Mar 25, 1981",New York Knicks,84,Washington Bullets,105,Box Score,,"7,483",,Capital Centre,
"Thu, Mar 26, 1981",Indiana Pacers,115,Atlanta Hawks,107,Box Score,,"8,776",,Omni Coliseum,
"Thu, Mar 26, 1981",Cleveland Cavaliers,109,Milwaukee Bucks,137,Box Score,,"11,052",,MECCA Arena,
"Thu, Mar 26, 1981",San Antonio Spurs,98,Utah Jazz,97,Box Score,,"6,319",,Salt Palace,
"Fri, Mar 27, 1981",Detroit Pistons,115,Boston Celtics,90,Box Score,,"15,320",1:58,Boston Garden,
"Fri, Mar 27, 1981",Atlanta Hawks,83,Chicago Bulls,108,Box Score,,"11,169",,Chicago Stadium,
"Fri, Mar 27, 1981",Philadelphia 76ers,138,Cleveland Cavaliers,117,Box Score,,"20,175",,Coliseum at Richfield,
"Fri, Mar 27, 1981",Portland Trail Blazers,123,Dallas Mavericks,109,Box Score,,"11,203",,Reunion Arena,
"Fri, Mar 27, 1981",Kansas City Kings,84,Houston Rockets,91,Box Score,,"15,676",,The Summit,
"Fri, Mar 27, 1981",Washington Bullets,107,Indiana Pacers,122,Box Score,,"11,583",,Market Square Arena,
"Fri, Mar 27, 1981",San Diego Clippers,100,Phoenix Suns,124,Box Score,,"12,660",,Arizona Veterans Memorial Coliseum,
"Fri, Mar 27, 1981",Los Angeles Lakers,97,Seattle SuperSonics,90,Box Score,,"22,494",,Seattle Kingdome,
"Sat, Mar 28, 1981",Denver Nuggets,142,Golden State Warriors,139,Box Score,,"13,239",,Oakland-Alameda County Coliseum Arena,
"Sat, Mar 28, 1981",New York Knicks,90,New Jersey Nets,88,Box Score,,"8,515",,Rutgers Athletic Center,
"Sat, Mar 28, 1981",Los Angeles Lakers,110,Utah Jazz,112,Box Score,OT,"12,383",,Salt Palace,
"Sat, Mar 28, 1981",Detroit Pistons,103,Washington Bullets,108,Box Score,,"14,500",,Capital Centre,
"Sun, Mar 29, 1981",Milwaukee Bucks,132,Atlanta Hawks,128,Box Score,OT,"7,021",,Omni Coliseum,
"Sun, Mar 29, 1981",Philadelphia 76ers,94,Boston Celtics,98,Box Score,,"15,320",2:18,Boston Garden,
"Sun, Mar 29, 1981",Chicago Bulls,101,Indiana Pacers,97,Box Score,,"16,663",,Market Square Arena,
"Sun, Mar 29, 1981",Dallas Mavericks,104,Kansas City Kings,113,Box Score,,"7,171",,Kemper Arena,
"Sun, Mar 29, 1981",Denver Nuggets,148,Los Angeles Lakers,146,Box Score,OT,"17,505",,The Forum,
"Sun, Mar 29, 1981",New Jersey Nets,95,New York Knicks,103,Box Score,,"9,485",,Madison Square Garden (IV),
"Sun, Mar 29, 1981",Utah Jazz,90,Phoenix Suns,105,Box Score,,"11,352",,Arizona Veterans Memorial Coliseum,
"Sun, Mar 29, 1981",Houston Rockets,109,San Antonio Spurs,135,Box Score,,"11,543",,HemisFair Arena,
"Sun, Mar 29, 1981",Portland Trail Blazers,144,San Diego Clippers,129,Box Score,,"4,951",,San Diego Sports Arena,
"Sun, Mar 29, 1981",Golden State Warriors,92,Seattle SuperSonics,96,Box Score,,"18,842",,Seattle Kingdome,
"Sun, Mar 29, 1981",Cleveland Cavaliers,103,Washington Bullets,138,Box Score,,"12,755",,Capital Centre,
"Tue, Mar 31, 1981",Chicago Bulls,90,New York Knicks,80,Box Score,,"14,822",,Madison Square Garden (IV),
"Tue, Mar 31, 1981",Indiana Pacers,108,Philadelphia 76ers,124,Box Score,,"7,288",,The Spectrum,
"Wed, Apr 1, 1981",Kansas City Kings,98,Portland Trail Blazers,97,Box Score,OT,"12,666",,Memorial Coliseum,
"Wed, Apr 1, 1981",Houston Rockets,111,Los Angeles Lakers,107,Box Score,,"15,517",,The Forum,
"Thu, Apr 2, 1981",Philadelphia 76ers,96,Indiana Pacers,85,Box Score,,"8,921",,Market Square Arena,
"Fri, Apr 3, 1981",New York Knicks,114,Chicago Bulls,115,Box Score,OT,"19,901",,Chicago Stadium,
"Fri, Apr 3, 1981",Los Angeles Lakers,111,Houston Rockets,106,Box Score,,"16,121",,The Summit,
"Fri, Apr 3, 1981",Portland Trail Blazers,124,Kansas City Kings,119,Box Score,OT,"11,088",,Kemper Arena,
"Sun, Apr 5, 1981",Chicago Bulls,109,Boston Celtics,121,Box Score,,"15,320",2:08,Boston Garden,
"Sun, Apr 5, 1981",Houston Rockets,89,Los Angeles Lakers,86,Box Score,,"14,813",,The Forum,
"Sun, Apr 5, 1981",Milwaukee Bucks,122,Philadelphia 76ers,125,Box Score,,"9,727",,The Spectrum,
"Sun, Apr 5, 1981",Kansas City Kings,104,Portland Trail Blazers,95,Box Score,,"12,666",,Memorial Coliseum,
"Tue, Apr 7, 1981",Kansas City Kings,80,Phoenix Suns,102,Box Score,,"12,660",,Arizona Veterans Memorial Coliseum,
"Tue, Apr 7, 1981",Houston Rockets,107,San Antonio Spurs,98,Box Score,,"13,319",,HemisFair Arena,
"Tue, Apr 7, 1981",Milwaukee Bucks,109,Philadelphia 76ers,99,Box Score,,"15,259",,The Spectrum,
"Tue, Apr 7, 1981",Chicago Bulls,97,Boston Celtics,106,Box Score,,"15,320",2:02,Boston Garden,
"Wed, Apr 8, 1981",Kansas City Kings,88,Phoenix Suns,83,Box Score,,"12,660",,Arizona Veterans Memorial Coliseum,
"Wed, Apr 8, 1981",Houston Rockets,113,San Antonio Spurs,125,Box Score,,"12,128",,HemisFair Arena,
"Fri, Apr 10, 1981",Boston Celtics,113,Chicago Bulls,107,Box Score,,"19,995",2:26,Chicago Stadium,
"Fri, Apr 10, 1981",San Antonio Spurs,99,Houston Rockets,112,Box Score,,"16,121",,The Summit,
"Fri, Apr 10, 1981",Phoenix Suns,92,Kansas City Kings,93,Box Score,,"13,776",,Kemper Arena,
"Fri, Apr 10, 1981",Philadelphia 76ers,108,Milwaukee Bucks,103,Box Score,,"11,052",,MECCA Arena,
"Sun, Apr 12, 1981",Philadelphia 76ers,98,Milwaukee Bucks,109,Box Score,,"11,052",,MECCA Arena,
"Sun, Apr 12, 1981",San Antonio Spurs,114,Houston Rockets,112,Box Score,,"16,121",,The Summit,
"Sun, Apr 12, 1981",Boston Celtics,109,Chicago Bulls,103,Box Score,,"18,249",2:18,Chicago Stadium,
"Sun, Apr 12, 1981",Phoenix Suns,95,Kansas City Kings,102,Box Score,,"11,089",,Kemper Arena,
"Tue, Apr 14, 1981",Houston Rockets,123,San Antonio Spurs,117,Box Score,,"16,114",,HemisFair Arena,
"Wed, Apr 15, 1981",San Antonio Spurs,101,Houston Rockets,96,Box Score,,"16,121",,The Summit,
"Wed, Apr 15, 1981",Milwaukee Bucks,99,Philadelphia 76ers,116,Box Score,,"15,384",,The Spectrum,
"Wed, Apr 15, 1981",Kansas City Kings,89,Phoenix Suns,101,Box Score,,"12,660",,Arizona Veterans Memorial Coliseum,
"Fri, Apr 17, 1981",Phoenix Suns,81,Kansas City Kings,76,Box Score,,"15,232",,Kemper Arena,
"Fri, Apr 17, 1981",Philadelphia 76ers,86,Milwaukee Bucks,109,Box Score,,"11,052",,MECCA Arena,
"Fri, Apr 17, 1981",Houston Rockets,105,San Antonio Spurs,100,Box Score,,"16,114",,HemisFair Arena,
"Sun, Apr 19, 1981",Kansas City Kings,95,Phoenix Suns,88,Box Score,,"12,660",,Arizona Veterans Memorial Coliseum,
"Sun, Apr 19, 1981",Milwaukee Bucks,98,Philadelphia 76ers,99,Box Score,,"6,704",,The Spectrum,
"Tue, Apr 21, 1981",Philadelphia 76ers,105,Boston Celtics,104,Box Score,,"15,320",2:15,Boston Garden,
"Tue, Apr 21, 1981",Houston Rockets,97,Kansas City Kings,78,Box Score,,"13,885",,Kemper Arena,
"Wed, Apr 22, 1981",Philadelphia 76ers,99,Boston Celtics,118,Box Score,,"15,320",2:04,Boston Garden,
"Wed, Apr 22, 1981",Houston Rockets,79,Kansas City Kings,88,Box Score,,"14,326",,Kemper Arena,
"Fri, Apr 24, 1981",Kansas City Kings,88,Houston Rockets,92,Box Score,,"16,121",,The Summit,
"Fri, Apr 24, 1981",Boston Celtics,100,Philadelphia 76ers,110,Box Score,,"18,276",2:13,The Spectrum,
"Sun, Apr 26, 1981",Kansas City Kings,89,Houston Rockets,100,Box Score,,"16,121",,The Summit,
"Sun, Apr 26, 1981",Boston Celtics,105,Philadelphia 76ers,107,Box Score,,"18,276",2:17,The Spectrum,
"Wed, Apr 29, 1981",Philadelphia 76ers,109,Boston Celtics,111,Box Score,,"15,320",2:32,Boston Garden,
"Wed, Apr 29, 1981",Houston Rockets,97,Kansas City Kings,88,Box Score,,"14,640",,Kemper Arena,
"Fri, May 1, 1981",Boston Celtics,100,Philadelphia 76ers,98,Box Score,,"18,276",2:32,The Spectrum,
"Sun, May 3, 1981",Philadelphia 76ers,90,Boston Celtics,91,Box Score,,"15,320",2:25,Boston Garden,
"Tue, May 5, 1981",Houston Rockets,95,Boston Celtics,98,Box Score,,"15,320",2:14,Boston Garden,
"Thu, May 7, 1981",Houston Rockets,92,Boston Celtics,90,Box Score,,"15,320",2:25,Boston Garden,
"Sat, May 9, 1981",Boston Celtics,94,Houston Rockets,71,Box Score,,"16,121",2:11,The Summit,
"Sun, May 10, 1981",Boston Celtics,86,Houston Rockets,91,Box Score,,"16,121",,The Summit,
"Tue, May 12, 1981",Houston Rockets,80,Boston Celtics,109,Box Score,,"15,320",2:23,Boston Garden,
"Thu, May 14, 1981",Boston Celtics,102,Houston Rockets,91,Box Score,,"16,121",2:17,The Summit,
